date,open,high,low,close,volume
2014/3/31,72.10235061,72.313618,71.66109594,71.7694039,42167300
2014/4/1,71.90579171,72.45535435,71.77341531,72.42593737,50190000
2014/4/2,72.52354825,72.67063314,72.24007555,72.54627955,45105200
2014/4/3,72.39117185,72.53959388,71.88974609,72.04351665,40586000
2014/4/4,72.17990446,72.20531003,70.94572851,71.1115333,68812800
2014/4/7,70.60342186,70.98851685,69.78375788,69.99502527,72462600
2014/4/8,70.22501255,70.34936614,69.35722506,69.99101386,60972100
2014/4/9,69.88404303,70.9336943,69.80114064,70.91096299,51542400
2014/4/10,70.95909987,71.16769299,69.9549112,69.9963624,59913000
2014/4/11,69.39732575,69.9094486,69.14861858,69.47889101,67929400
2014/4/14,69.78509501,69.81986053,69.15797852,69.75567803,51418500
2014/4/15,69.56714195,69.75032949,68.37174292,69.2582503,66622500
2014/4/16,69.27029789,69.67678705,68.74686288,69.39866289,53691400
2014/4/17,69.53103929,70.56865634,69.42406846,70.19158416,71083600
2014/4/21,70.24506958,71.15432163,70.0605449,71.0246195,45637200
2014/4/22,70.64219878,71.11233558,70.400311,71.09535396,50640800
2014/4/23,70.74248394,71.01927096,70.12606453,70.16617859,98735000
2014/4/24,75.97736892,76.21671615,74.97719166,75.91853496,189977900
2014/4/25,75.4853031,76.48280609,75.40908638,76.47612041,97568800
2014/4/28,76.59111405,79.65983973,76.55768567,79.43787526,167371400
2014/4/29,79.39107552,79.69059384,78.82546726,79.20253943,84344400
2014/4/30,79.24399063,80.15190554,78.86424418,78.90302111,114160200
2014/5/1,79.15841396,79.53281187,78.40426961,79.08888292,61012000
2014/5/2,79.20387657,79.45258374,78.85220996,79.23596781,47878600
2014/5/5,78.90970678,80.3618358,78.89098689,80.35648726,71766800
2014/5/6,80.46880663,80.81778559,79.48066359,79.48066359,93641100
2014/5/7,79.59298296,79.86575857,78.58745716,79.20253943,70716100
2014/5/8,79.09710026,79.92538439,78.8483461,79.06214022,57574300
2014/5/9,78.59824732,78.82817684,78.03216353,78.73304518,72899400
2014/5/12,78.99490936,79.82453811,78.98280781,79.71293489,53302200
2014/5/13,79.60133167,79.94286441,79.42653145,79.83798428,39934300
2014/5/14,79.6591502,80.3274249,79.56637162,79.85277506,41601000
2014/5/15,79.96437828,80.21985553,79.0688633,79.17374343,57711500
2014/5/16,79.14819571,80.34490492,78.71388439,80.34221568,69064100
2014/5/19,80.38793267,81.66262967,80.31801258,81.29420458,79438800
2014/5/20,81.28344765,81.53758028,80.77518239,81.31033999,58709000
2014/5/21,81.19201369,81.57791879,80.95401646,81.52547872,49214900
2014/5/22,81.56447262,82.00147317,81.22831835,81.65456196,50190000
2014/5/23,81.65187273,82.65755219,81.5469926,82.57696929,58052400
2014/5/27,82.81227728,84.15420513,82.77866185,84.12327894,87216500
2014/5/28,84.17571901,84.68801812,83.87452478,83.90545097,78870400
2014/5/29,84.42178393,85.63462855,84.411027,85.4342806,94118500
2014/5/30,85.78388104,86.61619902,84.56296873,85.11426173,141005200
2014/6/2,85.24334497,85.36032666,83.70241379,84.5293533,92337700
2014/6/3,84.50380558,85.88607194,84.47556862,85.72471789,73177300
2014/6/4,85.71127172,87.11639658,85.53243765,86.70359913,83870500
2014/6/5,86.88915629,87.31538646,86.40643876,87.04378726,75951400
2014/6/6,87.38666461,87.56953254,86.65653753,86.80444541,87484600
2014/6/9,87.25220291,88.36285662,86.35803254,88.19343487,75414997
2014/6/10,89.16290379,89.46409802,88.07107471,88.71111245,62777000
2014/6/11,88.59816461,89.19114075,87.97695152,88.34403198,45681000
2014/6/12,88.51345373,88.58875229,86.49921734,86.8662978,54749000
2014/6/13,86.78158692,87.00748259,85.53916073,85.91565352,54525000
2014/6/16,86.13213687,87.2992645,86.07566295,86.78158692,35561000
2014/6/17,86.88512244,87.25220291,86.40509414,86.66863909,29726000
2014/6/18,86.84747316,86.8662978,85.98153976,86.76276228,33514000
2014/6/19,86.8662978,86.87571012,85.97109208,86.46156806,35528000
2014/6/20,86.45215574,87.11101811,85.55798537,85.56739769,100898000
2014/6/23,85.9533028,86.23567239,85.27561578,85.49209914,43694000
2014/6/24,85.41680058,86.34862022,84.88971068,84.97442156,39036000
2014/6/25,84.90853532,85.36973898,84.38144542,85.04972011,36869000
2014/6/26,85.05913243,85.69917017,84.52263021,85.55798537,32629000
2014/6/27,85.48268682,86.59334053,85.43562522,86.57451589,64029000
2014/6/30,86.68746373,88.21696567,86.67805141,87.46868626,49589000
2014/7/1,88.02401311,88.54169069,87.65693265,88.02401311,38223000
2014/7/2,88.34873814,88.53227837,87.61928337,87.98636384,28465000
2014/7/3,88.16519791,88.56992765,87.72281889,88.50404142,22891800
2014/7/7,88.60757693,90.34885606,88.56992765,90.32814896,56468000
2014/7/8,90.61240101,91.11125395,88.4005059,89.74646761,65222000
2014/7/9,89.83117848,90.31120678,89.19114075,89.78411688,36436000
2014/7/10,88.24990879,89.934714,88.02401311,89.44997954,39686000
2014/7/11,89.75587992,90.25473286,89.28761702,89.62410745,34018000
2014/7/14,90.22649591,91.19596483,90.02883719,90.78182276,42810000
2014/7/15,91.11125395,91.15831555,89.44527338,89.71823065,45477900
